"filename", "language", "TypeScript", "PostCSS", "HTML", "comment", "blank", "total"
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_guards\auth-employer.guard.ts", "TypeScript", 25, 0, 0, 0, 2, 27
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_guards\auth-job-seeker.guard.ts", "TypeScript", 37, 0, 0, 0, 2, 39
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_interceptors\error.interceptor.ts", "TypeScript", 45, 0, 0, 10, 3, 58
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_interceptors\jwt.interceptor.ts", "TypeScript", 31, 0, 0, 0, 3, 34
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_interceptors\loading.interceptor.ts", "TypeScript", 25, 0, 0, 0, 3, 28
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_models\employer.ts", "TypeScript", 12, 0, 0, 0, 1, 13
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_models\experience.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_models\job-seeker.ts", "TypeScript", 17, 0, 0, 0, 2, 19
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_models\pagination.ts", "TypeScript", 10, 0, 0, 0, 1, 11
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_models\qualification.ts", "TypeScript", 7, 0, 0, 0, 1, 8
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_models\role.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_models\user.ts", "TypeScript", 4, 0, 0, 0, 0, 4
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_models\vacancy-request.ts", "TypeScript", 3, 0, 0, 0, 0, 3
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_models\vacancy.ts", "TypeScript", 21, 0, 0, 0, 2, 23
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_modules\shared.module.ts", "TypeScript", 24, 0, 0, 0, 2, 26
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_services\account.service.ts", "TypeScript", 61, 0, 0, 0, 6, 67
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_services\busy.service.ts", "TypeScript", 20, 0, 0, 0, 4, 24
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_services\employer.service.ts", "TypeScript", 64, 0, 0, 5, 4, 73
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_services\job-seeker.service.ts", "TypeScript", 80, 0, 0, 0, 6, 86
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_services\vacancy.service.ts", "TypeScript", 75, 0, 0, 2, 5, 82
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_theming\flatlytheme.bootstrap.min.css", "PostCSS", 0, 2, 0, 10, 0, 12
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_theming\litera.bootstrap.min.css", "PostCSS", 0, 2, 0, 10, 0, 12
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\app-routing.module.ts", "TypeScript", 87, 0, 0, 0, 7, 94
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\app.component.css", "PostCSS", 0, 0, 0, 3, 1, 4
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\app.component.html", "HTML", 0, 0, 3, 1, 1, 5
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\app.component.spec.ts", "TypeScript", 31, 0, 0, 0, 5, 36
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\app.component.ts", "TypeScript", 19, 0, 0, 0, 5, 24
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\app.module.ts", "TypeScript", 74, 0, 0, 1, 3, 78
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-profile-edit\employer-profile-edit.component.css", "PostCSS", 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-profile-edit\employer-profile-edit.component.html", "HTML", 0, 0, 115, 0, 1, 116
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-profile-edit\employer-profile-edit.component.ts", "TypeScript", 65, 0, 0, 0, 7, 72
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-profile\employer-profile.component.css", "PostCSS", 0, 33, 0, 0, 7, 40
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-profile\employer-profile.component.html", "HTML", 0, 0, 41, 0, 1, 42
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-profile\employer-profile.component.ts", "TypeScript", 30, 0, 0, 0, 4, 34
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-vacancy-edit\employer-vacancy-edit.component.css", "PostCSS", 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-vacancy-edit\employer-vacancy-edit.component.html", "HTML", 0, 0, 94, 0, 2, 96
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-vacancy-edit\employer-vacancy-edit.component.ts", "TypeScript", 62, 0, 0, 2, 7, 71
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-vacancy-list\employer-vacancy-list.component.css", "PostCSS", 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-vacancy-list\employer-vacancy-list.component.html", "HTML", 0, 0, 16, 0, 1, 17
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-vacancy-list\employer-vacancy-list.component.ts", "TypeScript", 48, 0, 0, 0, 7, 55
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-view-vacancy-reqs\employer-view-vacancy-reqs.component.css", "PostCSS", 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-view-vacancy-reqs\employer-view-vacancy-reqs.component.html", "HTML", 0, 0, 1, 0, 1, 2
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-view-vacancy-reqs\employer-view-vacancy-reqs.component.ts", "TypeScript", 11, 0, 0, 0, 5, 16
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-applied-vacancies\js-applied-vacancies.component.css", "PostCSS", 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-applied-vacancies\js-applied-vacancies.component.html", "HTML", 0, 0, 17, 0, 2, 19
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-applied-vacancies\js-applied-vacancies.component.ts", "TypeScript", 62, 0, 0, 3, 8, 73
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-create-experience\js-create-experience.component.css", "PostCSS", 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-create-experience\js-create-experience.component.html", "HTML", 0, 0, 104, 4, 5, 113
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-create-experience\js-create-experience.component.ts", "TypeScript", 60, 0, 0, 0, 6, 66
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-create-qualification\js-create-qualification.component.css", "PostCSS", 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-create-qualification\js-create-qualification.component.html", "HTML", 0, 0, 72, 5, 5, 82
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-create-qualification\js-create-qualification.component.ts", "TypeScript", 50, 0, 0, 0, 6, 56
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-edit-profile\js-edit-profile.component.css", "PostCSS", 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-edit-profile\js-edit-profile.component.html", "HTML", 0, 0, 124, 0, 1, 125
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-edit-profile\js-edit-profile.component.ts", "TypeScript", 91, 0, 0, 0, 8, 99
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-list-item-experience\js-list-item-experience.component.css", "PostCSS", 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-list-item-experience\js-list-item-experience.component.html", "HTML", 0, 0, 1, 0, 1, 2
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-list-item-experience\js-list-item-experience.component.ts", "TypeScript", 13, 0, 0, 0, 5, 18
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-list-item-profile\js-list-item-profile.component.css", "PostCSS", 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-list-item-profile\js-list-item-profile.component.html", "HTML", 0, 0, 61, 4, 3, 68
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-list-item-profile\js-list-item-profile.component.ts", "TypeScript", 12, 0, 0, 0, 3, 15
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-list-item-qualification\js-list-item-qualification.component.css", "PostCSS", 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-list-item-qualification\js-list-item-qualification.component.html", "HTML", 0, 0, 1, 0, 1, 2
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-list-item-qualification\js-list-item-qualification.component.ts", "TypeScript", 13, 0, 0, 0, 5, 18
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-profile\js-profile.component.css", "PostCSS", 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-profile\js-profile.component.html", "HTML", 0, 0, 100, 6, 6, 112
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\jobseeker\js-profile\js-profile.component.ts", "TypeScript", 45, 0, 0, 0, 5, 50
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\home\home.component.css", "PostCSS", 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\home\home.component.html", "HTML", 0, 0, 56, 0, 2, 58
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\home\home.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\home\home.component.ts", "TypeScript", 12, 0, 0, 0, 5, 17
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\login\login.component.css", "PostCSS", 0, 3, 0, 0, 0, 3
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\login\login.component.html", "HTML", 0, 0, 40, 1, 6, 47
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\login\login.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\login\login.component.ts", "TypeScript", 41, 0, 0, 0, 6, 47
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\navbar\navbar.component.css", "PostCSS", 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\navbar\navbar.component.html", "HTML", 0, 0, 100, 1, 3, 104
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\navbar\navbar.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\navbar\navbar.component.ts", "TypeScript", 52, 0, 0, 2, 6, 60
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\register\register.component.css", "PostCSS", 0, 3, 0, 0, 0, 3
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\register\register.component.html", "HTML", 0, 0, 100, 3, 5, 108
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\register\register.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\register\register.component.ts", "TypeScript", 53, 0, 0, 0, 7, 60
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\page-not-found\page-not-found.component.css", "PostCSS", 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\page-not-found\page-not-found.component.html", "HTML", 0, 0, 1, 0, 1, 2
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\page-not-found\page-not-found.component.ts", "TypeScript", 11, 0, 0, 0, 5, 16
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\vacancies\vacancy-list-item\vacancy-list-item.component.css", "PostCSS", 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\vacancies\vacancy-list-item\vacancy-list-item.component.html", "HTML", 0, 0, 37, 0, 3, 40
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\vacancies\vacancy-list-item\vacancy-list-item.component.ts", "TypeScript", 13, 0, 0, 0, 5, 18
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\vacancies\vacancy-list\vacancy-list.component.css", "PostCSS", 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\vacancies\vacancy-list\vacancy-list.component.html", "HTML", 0, 0, 142, 3, 5, 150
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\vacancies\vacancy-list\vacancy-list.component.ts", "TypeScript", 125, 0, 0, 1, 13, 139
"Total", "-", 1734, 43, 1226, 77, 298, 3378